No,Item NO.,,,,"AICA 
Finish",P. Film,SIZE,Thickness,Unit Price
1,ASW,13000,K,N74,N74,,4'x8',1,24.1
2,ASW,13001,K,N74,N74,,4'x8',1,24.1
